,Unnamed: 0,Score,GPU,Base/Boost,Memory,Power,Buy
0,Nvidia Titan RTX,100.0%,TU102,1350/1770 MHz,24GB GDDR6,280W,Titan RTX
1,Nvidia GeForce RTX 2080 Ti,96.8%,TU102,1350/1635 MHz,11GB GDDR6,260W,Nvidia GeForce RTX 2080 Ti
2,Nvidia GeForce RTX 2080 Super,85.1%,TU104,1650/1815 MHz,8GB GDDR6,250W,GeForce RTX 2080 Super
3,Nvidia GeForce RTX 2080,80.0%,TU104,1515/1800 MHz,8GB GDDR6,225W,GeForce RTX 2080
4,Nvidia GeForce RTX 2070 Super,75.8%,TU104,1605/1770 MHz,8GB GDDR6,215W,GeForce RTX 2070 Super
5,AMD Radeon VII,75.1%,Vega 20,1400/1750 MHz,16GB HBM2,300W,Radeon VII
6,Nvidia Titan X,74.8%,GP102,1405/1480 MHz,12GB GDDR5X,250W,GeForce GTX Titan X
7,Nvidia GeForce GTX 1080 Ti,74.2%,GP102,1480/1582 MHz,11GB GDDR5X,250W,Nvidia GeForce GTX 1080 Ti
8,AMD Radeon RX 5700 XT,72.3%,Navi 10,1605/1905 MHz,8GB GDDR6,225W,AMD Radeon RX 5700 XT
9,Nvidia GeForce RTX 2070,67.8%,TU106,1410/1710 MHz,8GB GDDR6,185W,RTX 2070
10,AMD Radeon RX 5700,65.5%,Navi 10,1465/1725 MHz,8GB GDDR6,185W,AMD Radeon RX 5700
11,Nvidia GeForce RTX 2060 Super,64.4%,TU106,1470/1650 MHz,8GB GDDR6,175W,GeForce RTX 2060 Super
12,Nvidia GeForce GTX 1080,61.3%,GP104,1607/1733 MHz,8GB GDDR5X,180W,Nvidia GeForce GTX 1080
13,AMD Radeon RX Vega 64,62.2%,Vega 10,1274/1546 MHz,8GB HBM2,295W,Gigabyte Radeon RX Vega 64
14,AMD Radeon RX 5600 XT,59.4%,Navi 10,?/1615 MHz,6GB GDDR6,150W,Radeon RX 5600 XT
15,Nvidia GeForce GTX 1080,58.1%,GP104,1607/1733 MHz,8GB GDDR5X,180W,Nvidia GeForce GTX 1080
16,Nvidia GeForce RTX 2060,57.2%,TU106,1365/1680 MHz,6GB GDDR6,160W,Nvidia GeForce RTX 2060 FE
17,AMD Radeon RX Vega 56,54.9%,Vega 10,1156/1471 MHz,8GB HBM2,210W,Radeon RX Vega 56
18,Nvidia GeForce GTX 1070 Ti,53.8%,GP104,1607/1683 MHz,8GB GDDR5,180W,GeForce GTX 1070 Ti
19,Nvidia GeForce GTX 1660 Ti,48.6%,TU116,1365/1680 MHz,6GB GDDR6,120W,GeForce GTX 1660 Ti 6GB
20,Nvidia GeForce GTX 1660 Super,48.3%,TU116,1530/1785 MHz,6GB GDDR6,125W,GeForce GTX 1660 Super
21,Nvidia GeForce GTX 1070,47.2%,GP104,1506/1683 MHz,8GB GDDR5,150W,MSI GTX 1070
22,Nvidia GeForce GTX 980 Ti,42.3%,GM200,1000/1075 MHz,6GB GDDR5,250W,GeForce GTX 980 Ti
23,Nvidia GeForce GTX 1660,42.2%,TU116,1530/1785 MHz,6GB GDDR5,120W,Geforce GTX 1660
24,AMD Radeon R9 Fury X,42.0%,Fiji,1050 MHz,4GB HBM,275W,AMD Radeon R9 Fury X
25,AMD Radeon RX 590,41.6%,Polaris 30,1469/1545 MHz,8GB GDDR5,225W,Radeon RX 590
26,AMD Radeon RX 5500 XT 8GB,40.5%,Navi 14,?/1717 MHz,8GB GDDR6,130W,AMD Radeon RX 5500 XT 8GB
27,AMD Radeon RX 580 8GB,38.2%,Polaris 20,1257/1340 MHz,8GB GDDR5,185W,AMD Radeon RX 580
28,Nvidia GeForce GTX 1650 Super,36.6%,TU116,1530/1725 MHz,4GB GDDR6,100W,Nvidia GeForce GTX 1650 Super
29,AMD Radeon RX 5500 XT 4GB,36.4%,Navi 14,?/1717 MHz,4GB GDDR6,130W,AMD Radeon RX 5500 XT 4GB
30,AMD Radeon R9 390,34.9%,Hawaii,1000 MHz,8GB GDDR5,275W,AMD Radeon R9 390
31,Nvidia GeForce GTX 1060 6GB,34.0%,GP106,1506/1708 MHz,6GB GDDR5,120W,NVIDIA GeForce GTX 1060 6GB
32,Nvidia GeForce GTX 980,34.0%,GM204,1126/1216 MHz,4GB GDDR5,165W,Nvidia GeForce GTX 980
33,AMD Radeon RX 570 4GB,32.4%,Polaris 20,1168/1244 MHz,4GB GDDR5,150W,Radeon RX 570
34,Nvidia GTX 1650 GDDR6,30.6%,TU117,1410/1590 MHz,4GB GDDR6,75W,GeForce GTX 1650 GDDR6
35,Nvidia GeForce GTX 1060 3GB,28.6%,GP106,1506/1708 MHz,3GB GDDR5,120W,Nvidia GeForce GTX 1060 3GB
36,Nvidia GeForce GTX 970,28.4%,GM204,1050/1178 MHz,4GB GDDR5,145W,Nvidia GeForce GTX 970
37,Nvidia GeForce GTX 1650,26.8%,TU117,1485/1665 MHz,4GB GDDR5,75W,GeForce GTX 1650 Gaming OC 4G
38,Nvidia GeForce GTX 1050 Ti,20.6%,GP107,1290/1392 MHz,4GB GDDR5,75W,Nvidia GeForce GTX 1050 Ti
39,AMD Radeon RX 560 4GB,16.1%,Polaris 21,1175/1275 MHz,4GB GDDR5,80W,PowerColor Red Dragon Radeon RX 560
40,Nvidia GeForce GTX 1050,15.7%,GP107,1354/1455 MHz,2GB GDDR5,75W,Gigabyte GeForce GTX 1050
41,AMD Radeon RX 550,10.0%,Polaris 22,1100/1183 MHz,4GB GDDR5,50W,PowerColor Radeon RX 550
42,Nvidia GeForce GT 1030,7.2%,GP108,1228/1468 MHz,2GB GDDR5,30W,Nvidia GeForce GT 1030
43,AMD Vega 11 (R5 3400G),6.8%,Vega 11,1400 MHz,2x8GB DDR4-3200,,
44,AMD Vega 8 (R3 3200G),6.1%,Vega 8,1250 MHz,2x8GB DDR4-3200,,
45,Intel UHD Graphics 630 (i7-9700K),2.5%,Gen9.5,1200 MHz,2x8GB DDR4-3200,,
